Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
7.942831E+2,-3.446621E+1,-3.491836E+1
7.939620E+2,-3.405626E+1,-3.493098E+1
7.936390E+2,-3.450847E+1,-3.468087E+1
7.938008E+2,-3.412572E+1,-3.479385E+1
7.928331E+2,-3.406018E+1,-3.509317E+1
7.942838E+2,-3.416179E+1,-3.508931E+1
7.939611E+2,-3.427739E+1,-3.509358E+1
7.936403E+2,-3.376105E+1,-3.493927E+1
7.928331E+2,-3.395433E+1,-3.518866E+1
7.944456E+2,-3.380106E+1,-3.511868E+1
7.931556E+2,-3.386032E+1,-3.517603E+1
7.936384E+2,-3.419558E+1,-3.519322E+1
7.938006E+2,-3.394429E+1,-3.504795E+1
7.949295E+2,-3.351688E+1,-3.541376E+1
7.954124E+2,-3.356662E+1,-3.548957E+1
7.941215E+2,-3.402586E+1,-3.546409E+1
7.947693E+2,-3.327782E+1,-3.527113E+1
7.942842E+2,-3.314546E+1,-3.576555E+1
7.947674E+2,-3.338491E+1,-3.570901E+1
7.939629E+2,-3.295397E+1,-3.560172E+1
7.944487E+2,-3.277177E+1,-3.510915E+1
7.955742E+2,-3.310532E+1,-3.570129E+1
7.939630E+2,-3.295578E+1,-3.551419E+1
7.944465E+2,-3.256802E+1,-3.588623E+1
7.952521E+2,-3.291397E+1,-3.579115E+1
7.950910E+2,-3.297136E+1,-3.567858E+1
7.960591E+2,-3.251168E+1,-3.580128E+1
7.949297E+2,-3.239572E+1,-3.616053E+1
7.954119E+2,-3.318451E+1,-3.601059E+1
7.947691E+2,-3.246923E+1,-3.595895E+1
7.962184E+2,-3.257750E+1,-3.643408E+1
7.960562E+2,-3.272580E+1,-3.648374E+1
7.965411E+2,-3.232973E+1,-3.650233E+1
7.962180E+2,-3.278608E+1,-3.636293E+1
7.967043E+2,-3.216502E+1,-3.585899E+1
7.958968E+2,-3.215704E+1,-3.636561E+1
7.965413E+2,-3.245484E+1,-3.633616E+1
7.981545E+2,-3.184748E+1,-3.643210E+1
7.960574E+2,-3.251753E+1,-3.639500E+1
7.960574E+2,-3.262885E+1,-3.631990E+1
7.973475E+2,-3.268095E+1,-3.617193E+1
7.941229E+2,-3.226872E+1,-3.666493E+1
7.978307E+2,-3.196565E+1,-3.686558E+1
7.965406E+2,-3.212881E+1,-3.675930E+1
7.955732E+2,-3.184793E+1,-3.706572E+1
7.975077E+2,-3.198072E+1,-3.705049E+1
7.979913E+2,-3.211248E+1,-3.683532E+1
7.963787E+2,-3.230725E+1,-3.689038E+1
7.989592E+2,-3.186528E+1,-3.677853E+1
7.967016E+2,-3.227417E+1,-3.671725E+1
7.984755E+2,-3.182430E+1,-3.684735E+1
7.981511E+2,-3.235889E+1,-3.719800E+1
7.979910E+2,-3.158110E+1,-3.742174E+1
7.971855E+2,-3.177484E+1,-3.699422E+1
7.987976E+2,-3.191664E+1,-3.699627E+1
7.978293E+2,-3.184620E+1,-3.730185E+1
7.981517E+2,-3.173425E+1,-3.744862E+1
7.978295E+2,-3.175491E+1,-3.729980E+1
7.976675E+2,-3.201037E+1,-3.735984E+1
7.984736E+2,-3.214738E+1,-3.727761E+1
7.983130E+2,-3.178434E+1,-3.742056E+1
7.978289E+2,-3.206236E+1,-3.730583E+1
7.984749E+2,-3.161617E+1,-3.727559E+1
7.975050E+2,-3.196818E+1,-3.783460E+1
7.991180E+2,-3.232699E+1,-3.725721E+1
7.973444E+2,-3.192226E+1,-3.770697E+1
7.981517E+2,-3.174023E+1,-3.746658E+1
7.989570E+2,-3.197015E+1,-3.746882E+1
7.981499E+2,-3.195390E+1,-3.780577E+1
7.970217E+2,-3.204642E+1,-3.772831E+1
7.978291E+2,-3.174309E+1,-3.748573E+1
7.968604E+2,-3.231602E+1,-3.753337E+1
7.970232E+2,-3.183008E+1,-3.738438E+1
7.970196E+2,-3.245706E+1,-3.797902E+1
7.960540E+2,-3.187873E+1,-3.794249E+1
7.981522E+2,-3.173229E+1,-3.729086E+1
7.966992E+2,-3.205136E+1,-3.766249E+1
7.989565E+2,-3.195619E+1,-3.763440E+1
7.958915E+2,-3.203133E+1,-3.825211E+1
7.968591E+2,-3.219484E+1,-3.802952E+1
7.973432E+2,-3.191401E+1,-3.806065E+1
7.976648E+2,-3.222841E+1,-3.814214E+1
7.976655E+2,-3.201609E+1,-3.804520E+1
7.975043E+2,-3.186701E+1,-3.819443E+1
7.966993E+2,-3.195217E+1,-3.774965E+1
7.970206E+2,-3.194501E+1,-3.814924E+1
7.981490E+2,-3.206102E+1,-3.805653E+1
7.952472E+2,-3.196594E+1,-3.812688E+1
7.970203E+2,-3.237007E+1,-3.798537E+1
7.976663E+2,-3.192671E+1,-3.780428E+1
7.962136E+2,-3.215523E+1,-3.825242E+1
7.963751E+2,-3.187962E+1,-3.845746E+1
7.958920E+2,-3.226246E+1,-3.809827E+1
7.978276E+2,-3.176696E+1,-3.808223E+1
7.976650E+2,-3.204204E+1,-3.831011E+1
7.973423E+2,-3.193547E+1,-3.824229E+1
7.962143E+2,-3.161283E+1,-3.850982E+1
7.992781E+2,-3.145225E+1,-3.840591E+1
7.994395E+2,-3.116332E+1,-3.844614E+1
7.968586E+2,-3.201191E+1,-3.832632E+1
7.970211E+2,-3.164279E+1,-3.810787E+1
7.981495E+2,-3.185681E+1,-3.809444E+1
7.978263E+2,-3.177273E+1,-3.852266E+1
7.963743E+2,-3.208810E+1,-3.855645E+1
7.963732E+2,-3.261246E+1,-3.838610E+1
7.975030E+2,-3.178362E+1,-3.879509E+1
7.963737E+2,-3.209404E+1,-3.872056E+1
7.971809E+2,-3.232462E+1,-3.822195E+1
7.979864E+2,-3.183232E+1,-3.873675E+1
7.994379E+2,-3.201264E+1,-3.836152E+1
7.991160E+2,-3.173462E+1,-3.846992E+1
7.975037E+2,-3.168049E+1,-3.862917E+1
7.987928E+2,-3.194357E+1,-3.848344E+1
7.984701E+2,-3.195502E+1,-3.875791E+1
7.994377E+2,-3.182661E+1,-3.862178E+1
7.987933E+2,-3.163670E+1,-3.864727E+1
8.000831E+2,-3.158534E+1,-3.867925E+1
7.989535E+2,-3.158358E+1,-3.903481E+1
8.002442E+2,-3.142943E+1,-3.878835E+1
7.991149E+2,-3.204351E+1,-3.854866E+1
7.981490E+2,-3.156332E+1,-3.850883E+1
8.002437E+2,-3.184099E+1,-3.871978E+1
8.000822E+2,-3.191597E+1,-3.884090E+1
8.010483E+2,-3.250687E+1,-3.862429E+1
