Name,Unit,Start_time,Time_increment,Length
General_Fz,N,1904/1/1 8:00:00,1.000000E-3,30000
General_COPx,mm,1904/1/1 8:00:00,1.000000E-3,30000
General_COPy,mm,1904/1/1 8:00:00,1.000000E-3,30000

General_Fz,General_COPx,General_COPy
7.958159E+2,-8.532249E+1,-1.932450E+1
7.942036E+2,-8.530263E+1,-1.936992E+1
7.953310E+2,-8.552862E+1,-1.955513E+1
7.956563E+2,-8.486557E+1,-1.920494E+1
7.966238E+2,-8.487341E+1,-1.909030E+1
7.961377E+2,-8.550453E+1,-1.939965E+1
7.942026E+2,-8.571159E+1,-1.953481E+1
7.971061E+2,-8.529362E+1,-1.930524E+1
7.956539E+2,-8.614664E+1,-1.903060E+1
7.959760E+2,-8.630832E+1,-1.894157E+1
7.959775E+2,-8.578144E+1,-1.885658E+1
7.959767E+2,-8.567817E+1,-1.928017E+1
7.956531E+2,-8.582215E+1,-1.946003E+1
7.958164E+2,-8.595511E+1,-1.873284E+1
7.961382E+2,-8.570325E+1,-1.906731E+1
7.958154E+2,-8.617606E+1,-1.899634E+1
7.964613E+2,-8.557542E+1,-1.906580E+1
7.977522E+2,-8.585333E+1,-1.843239E+1
7.964604E+2,-8.641383E+1,-1.863040E+1
7.967825E+2,-8.626366E+1,-1.887992E+1
7.967828E+2,-8.626966E+1,-1.880095E+1
7.954924E+2,-8.640786E+1,-1.890479E+1
7.966223E+2,-8.612891E+1,-1.858197E+1
7.982336E+2,-8.626787E+1,-1.871587E+1
7.975878E+2,-8.655223E+1,-1.891107E+1
7.972656E+2,-8.701011E+1,-1.849194E+1
7.980723E+2,-8.654195E+1,-1.851531E+1
7.980728E+2,-8.675455E+1,-1.834194E+1
7.977496E+2,-8.668848E+1,-1.859410E+1
7.990421E+2,-8.590238E+1,-1.822471E+1
8.000078E+2,-8.644114E+1,-1.828901E+1
7.988788E+2,-8.661812E+1,-1.835558E+1
8.001681E+2,-8.678292E+1,-1.841046E+1
8.000056E+2,-8.716898E+1,-1.837148E+1
8.003299E+2,-8.661214E+1,-1.835851E+1
8.008132E+2,-8.704472E+1,-1.805709E+1
8.011337E+2,-8.710195E+1,-1.846406E+1
8.009739E+2,-8.717818E+1,-1.810153E+1
8.021021E+2,-8.688252E+1,-1.834756E+1
8.030699E+2,-8.700204E+1,-1.799162E+1
8.019396E+2,-8.737249E+1,-1.830882E+1
8.021033E+2,-8.678210E+1,-1.811025E+1
8.033928E+2,-8.736552E+1,-1.773384E+1
8.024237E+2,-8.758144E+1,-1.816947E+1
8.030691E+2,-8.782632E+1,-1.781541E+1
